 Services,First Name,Last Name,Agency,Title,Service Type,Population,Hours of operation,Street Address,Suite/Floor/Dept./Room,State,City,Zip,Phone,Email,Website,,
UA,Mary,Romero,Catholic Charities,Regional Director San Gabriel,"Basic needs assistance: food, clothing, transportation, utilities, rental and move in(when funds are available). Parenting classes, exercise classes, special events coordination for the community, enrollment for Calfresh in East LA and El Monte.",Low income or homeless individuals/families.,Mon-Fri 9am-1pm,4171 N Tyler Ave,,CA,El Monte,91731,626.575.7652,,www.catholiccharitiesla.org,confirmed,
CM,Mary,Romero,Catholic Charities,Regional Director San Gabriel,"Basic needs assistance: food, clothing, transportation, utilities, rental and move in(when funds are available). Parenting classes, exercise classes, special events coordination for the community, enrollment for Calfresh in East LA and El Monte.",Low income or homeless individuals/families.,Mon-Fri 9am-1pm, 4171 N Tyler Ave,,CA,El Monte,91731,626.575.7652,,www.catholiccharitiesla.org,confirmed,
BH,,,Catholic Charities,,Homeless Prevention and rapid rehousing program,,Mon-Fri by appt.,1460 Holt Ave,STE 98,CA,Pomona,91767,909.629.1331,,,confirmed,
UA,,,Catholic Charities,,Utility assistance,,"M, T, Th, F: 8:30am-5pm; Wed: 8:30am-12pm",248 E. Monterey Ave,,CA,Pomona,91768,909.629.0472,,,,
SS,Hector,Martel,"Catholic Charities of LA 
Pomona Community Services",Client Resources Coordinator,,,"Monday, Tuesday, Thursday & Friday 8:30a.m. to 5:00p.m.                Wednesday 8:30a.m. to 12:00p.m.",248 E. Monterey Ave.,,CA,Pomona,91768,909.629.0472,,,number didn't work,
ES,,,Catholic Charities- Good Shepard Center Angel's Flight-Maternity Home,,Temporary emergency shelter for unaccompanied teenagers up to 18.,Teenagers up to 18,,357 S. Westlake Ave.,,CA,Los Angeles,,213.626.4100,,www.catholiccharitiesla.org,,
DV,Mary,Keovisai,Center for the Pacific Asian Family,Housing Coordinator,24/7 DV/SA counseling DV/SA emergency shelter DV/SA transitional shelter,Women & their families who are survivors of DV and sexual assault,27/7 hotline 800-339-3940,1102 Crenshaw Blvd.,,CA,Los Angeles,90019,Hotline:800-339-3940 Business:323-653-4045,,www.nurturingchange.org,left message 9/25,
HCS,,,CHAP Care,,"Federally qualified health center that offers sliding fee discount for low income uninsured patients. Accepted dental plans: Private insurance, Health Net MediCal Prepaid Health Plan through Liberty Dental (pending), Medi-Cal for children only.","Low income, uninsured. Spanish, Tagalong and Farsi spoken.","Mon & Wed 8am-5pm, Tues 8am-7pm, Thurs 8am-6pm, Fri 8am-4pm, Sat 8am-1pm. *Emergency Walk-ins start at 8am Mon-Sat.",1855 N. Fair Oaks Ave,GROUND FLOOR,CA,Pasadena,91103,626.398.5970,,www.chapcare.org,,
HCS,Sergio,Bautista,CHAP Care,COO/CFO,"Providing medical, dental and behavioral health services",Children and Adults,Call for more information,837 S. Fair Oaks Ave ,#204,CA,Pasadena,91105,626.993.1222,,www.chapcare.org,Sergio will email info,
DV,,,Chicana Service Action Center,,Provides crisis assistance and placement for women and families of DV.,,,151 E. Second St.,,CA,Pomona,91766,"909.620.0383

24/7 Hotline
800.548.2722",,,Called on 9/27- They said to call back on 9/28 to speak with a homeless case manager. The number is 323) 264-5627.,
HCS,,,Children's Hospital Los Angeles,,Affordable dental care.,"Children only, Media-Cal only.",Mon-Thurs 8am-5:30pm. Fri 8am-4:30pm,4650 Sunset Blvd,,CA,Los Angeles,90027,323.669.2130,,www.chla.org,,
SS,Karen,Blakeney,Chinatown Service Center,Interim ED,Provide outstanding services and advocacy that promote better quality of life and equal opportunity for immigrants and other communities so we can fulfill our vision of thriving lives in empowered communities,Income based- called to inquire,"Community Health Center:
 Mon, Wed, Fri 8am-5pm, Tues & Thurs 9am-6pm. 
 Main Office (Clinical)
 Mon-Fri. & 2nd sat of the month 8am-5pm, 
(Workforce)
 Mon,Wed, Fri 9am-5pm, Tues & Thurs 9am-6pm.
 (Behavioral Health)
 Mon-Fri 9am-5pm.","  767 N. Hill St 

                                                                                                                                                                                                                 ",Los Angeles STE. 400,CA,Los Angeles,90012,213.808.1700,,www.cscla.org,confirmed,
SS,Karen,Blakeney,Chinatown Service Center,Interim ED,Provide outstanding services and advocacy that promote better quality of life and equal opportunity for immigrants and other communities so we can fulfill our vision of thriving lives in empowered communities,Income based- called to inquire,"Community Health Center:
 Mon, Wed, Fri 8am-5pm, Tues & Thurs 9am-6pm. 
 Main Office (Clinical)
 Mon-Fri. & 2nd sat of the month 8am-5pm, 
(Workforce)
 Mon,Wed, Fri 9am-5pm, Tues & Thurs 9am-6pm.
 (Behavioral Health)
 Mon-Fri 9am-5pm.",320 S. Garfield Eve.,Alhambra STE. 118,CA,Los Angeles,90012,213.808.1700,,www.cscla.org,confirmed,
HCS,,,Choices,,"Comprehensive Perinatal Service Center Program for women 18 years and older in need of comprehensive, high quality and sensitive services.","Participants must be 18 years or older. Women may be currently pregnant or post-partum, but it is not a program requirement, although priority is given to pregnant or post-partum women. Must have a recent or current history of substance abuse, must agree to participate in the program and adhere to program guidelines. All participants are encouraged to bring their children to group sessions where child care is provided.","Habilitative Day Care 9am-12:30pm; Outpatient Services Mon Tues Weds & Fri 1-2:30pm, MWF 6-7:30pm",1460 N. Lake Avenue ,STE 107,CA,Pasadena,91104,626.398.3796,,www.choicesmedical.com,,
FB,,,Christ First Baptist Church,,"Food Served. Clothes, shoes and hygiene kits are available.",,Breakfast served every Friday morning from 7:00am-8:00am and Dinner served every Tuesday night from 4:00pm-5:00pm.,200 North Second Ave,,CA,Covina,91723,626.339.7378,,,,
CA,,,Christ First Baptist Church,,"Food Served. Clothes, shoes and hygiene kits are available.",,Breakfast served every Friday morning from 7:00am-8:00am and Dinner served every Tuesday night from 4:00pm-5:00pm.,200 North Second Ave,,CA,Covina,91723,626.339.7378,,,,
FB,,,Christ Temple Church of Pomona,,Food Pantry,,2nd and 4th Tues 10-11:15am,705 W 12th St.,,CA,Pomona,91766,909.629.1233,,,confirmed,
FB,,,Christian Service Center,,"Gives food to the needy, employment office, thrift shop, prayer group.",,Food handout Mon-Sun 10am-2pm,254 1/2 S. Santa Anita St.,,CA,San Gabriel,91786,626.289.5165,,,,
EES,,,Christian Service Center,,"Gives food to the needy, employment office, thrift shop, prayer group.",,Food handout Mon-Sun 10am-2pm,254 1/2 S. Santa Anita St.,,CA,San Gabriel,91786,626.289.5165,,,,
FB,,,Church of Nazarene,,Food Pantry,,3rd Saturday of the month 10am-12pm,2703 Walnut Grove Ave,,CA,Rosemead,91770,562.695.0019,,,confirmed,
FB,,,Church of the Redeemer,,Food Pantry,,4th Saturday of the month- 8-10:00am,3739 North Monterey Ave,,CA,Baldwin Park,91706,626.960.9585,,www.cotrbp.org,confirmed,
HCS,Abel,Mesa,Citrus Valley Health Partners,"Administrative Asst, Community Benefit",Healthcare services.,General Population,Emergency room is open 24hours,1115 S. Sunset Ave.,,CA,West Covina,91790,"626.814.2450 

Director 
626.814.2405",,www.cvhp.org,confirmed,
SS,Andrea,Rico,City of Pomona-Community Services Department,Youth and Family Services Manager,Youth and Family Services,,,505 S. Garey Ave.,box 660,CA,Pomona,91769,909.620.3683,andrea_rico@ci.pomona.ca.us,,left message 9/25,
MHS,,,Clearpoint Credit Counseling Solutions,,"HUD approved housing counseling agency, free housing counseling services.",,,,,CA,,,800.750.2227,,www.clearpointcreditcounselingsolutions.org,,
PSH,,,Clearpoint Credit Counseling Solutions,,"HUD approved housing counseling agency, free housing counseling services.",,,,,CA,,,800.750.2227,,www.clearpointcreditcounselingsolutions.org,,
Clinic,,,Cleaver Family Wellness Clinic,,Clinic,"Low Income, Under insured and insured","M-Thurs/8am-5pm/ M,Tues,Wed-10am-7pm",4368 Santa Anita Ave,,CA,El Monte,91731,626-579-2190,,www.our-center.org,,
SS,Barbara,Case,Compassion in Action-USA,President,,,,P.O. Box 383,,CA,San Dimas,91773,626.967.6800,,www.compassioninaction.us,left message 9/25,
ES,,,"Compton Welfare Rights Organization, Inc.-Shelter for Homeless Women and Children",,"Emergency Shelter, 15 beds, 2 months, single women, pregnant women, single women with children up to 10 years old, meals for residents, case management, referrals, personal care items, advocacy","Single women, pregnant women, single women with children up to 10 years old",,528 W. Almond St.,,CA,Compton,90220,310.631.5193,,www.cwroioi@aol.com,,
CM,,,"Compton Welfare Rights Organization, Inc.-Shelter for Homeless Women and Children",,"Emergency Shelter, 15 beds, 2 months, single women, pregnant women, single women with children up to 10 years old, meals for residents, case management, referrals, personal care items, advocacy","Single women, pregnant women, single women with children up to 10 years old",,528 W. Almond St.,,CA,Compton,90220,310.631.5193,,www.cwroioi@aol.com,,
BH,,,"Compton Welfare Rights Organization, Inc.-Shelter for Homeless Women and Children",,"Emergency Shelter, 15 beds, 2 months, single women, pregnant women, single women with children up to 10 years old, meals for residents, case management, referrals, personal care items, advocacy","Single women, pregnant women, single women with children up to 10 years old",,528 W. Almond St.,,CA,Compton,90220,310.631.5193,,www.cwroioi@aol.com,,
SS,,,"Compton Welfare Rights Organization, Inc.-Shelter for Homeless Women and Children",,"Emergency Shelter, 15 beds, 2 months, single women, pregnant women, single women with children up to 10 years old, meals for residents, case management, referrals, personal care items, advocacy","Single women, pregnant women, single women with children up to 10 years old",,528 W. Almond St.,,CA,Compton,90220,310.631.5193,,www.cwroioi@aol.com,,
FB,,,Cory's Kitchen,,Food distribution to those in need.,"Homeless, at risk become homeless","Azusa: Mon 6pm-8pm,",405 N. Azusa Ave,,CA,Azusa,91702,626.922.3076,,www.coryskitchen.org,,
FB,,,Cory's Kitchen,,Food distribution to those in need.,"Homeless, at risk become homeless",Baldwin Park: Fri 5pm-7pm,13020 Francisquito Ave,STE. 10,CA,Baldwin Park,90706,626.472.7144,,www.coryskitchen.org,,
FB,Jennie,Suguitan,Cory's Kitchen,Community Relations,Food distribution to those in need.,"Homeless, at risk become homeless",Irwindale: Tues 6pm-8pm,1418 Arrow Hwy,,CA,Irwindale,91706,626.305.0392,,www.coryskitchen.org,confirmed,
FB,,,Cory's Kitchen,,Food distribution to those in need.,"Homeless, at risk become homeless",Walnut: Weds 4pm-6pm,20470A Yellowbrick Rd.,,CA,Walnut,91789,909.468.0366,,www.coryskitchen.org,,
SS,Lorenzo,Arnold,County of Los Angeles Probation Department,Deputy Probation Officer II-Juvenile Special Services Bureau,,,,1660 W. Mission Rd,,CA,Pomona,91766,909.469.4582,Lorenzo.arnold@probation.lacounty.gov,www.probation.co.la.ca.us,confirmed,
MHS,,,County of Los Angeles- Department of Mental Health,,Mental Health Supportive Services,Low-income,,550 S. Vermont Ave,11th floor,CA,Los Angeles,90020,"213.738.2435 Phone 
213.738.4979 Fax",,Calworks4u@dmh.co.la.ca.us,,
EES,,,County of Los Angeles- Department of Mental Health Adult System of Care- Veteran's and Loved Ones Recovery (VALOR),,"Benefits establishment, employment and education assistance, peer support, collaboration with other VA organizations, referrals for child and family support, and housing assistance for homeless veterans. Services provided regardless of D/C status.",Veterans,,550 S. Vermont Ave,3rd floor,CA,Los Angeles,90020,"213.639.6319  
213.738.2868",,,,
SS,,,County of Los Angeles- Department of Mental Health Adult System of Care- Veteran's and Loved Ones Recovery (VALOR),,"Benefits establishment, employment and education assistance, peer support, collaboration with other VA organizations, referrals for child and family support, and housing assistance for homeless veterans. Services provided regardless of D/C status.",Veterans,,550 S. Vermont Ave,3rd floor,CA,Los Angeles,90020,"213.639.6319  
213.738.2868",,,,
SS,,,Covina United Methodist Church,,"Have kitchen, and infant supplies.",,,437 W. San Bernardino Rd.,,CA,Covina,91723,626.339.7386,,,,
ES,,,"Crossroads, Inc..",,Home for female parolees re-entering the community. Residential therapeutic community,,,P.O. Box 15,,CA,Claremont,,909.626.7847,,www.crossroadswomen.org,going to call us back,
HCS,,,CSC Community Health Center San Gabriel Valley,,Primary Medical Care,"Eng, Chinese, Spanish, Vietnamese","Tue: 8am-12pm,1pm-5pm; Thurs: 9am-1pm, 2pm-6pm; Friday: 8am-12pm",320 S. Garfield Ave,STE. 118,CA,Alhambra,91801,213.808.1700,,www.cscla.org,,
FB,,,CUSH Foundation,,Food Pantry,,Thurs 1-2:30 pm,2343 N San Antonio Ave,,CA,Pomona,91767,909.621.5369,,,confirmed,
MHS,Michael,Miller,David & Margaret Youth & Family Services,Chief Program Officer,"Youth and family services including foster family & adoption services, self-injury and mental health counseling programs, transitional housing",Youth & Families,Call for more information,1350 Third St.,,CA,La Verne,91750,"909.596.5921 
ext.3500",,www.davidandmargaret.org,left message 10/9,
BH,Michael,Miller,David & Margaret Youth & Family Services,Chief Program Officer,"Youth and family services including foster family & adoption services, self-injury and mental health counseling programs, transitional housing",Youth & Families,Call for more information,1350 Third St.,,CA,La Verne,91750,"909.596.5921 
ext.3500",,www.davidandmargaret.org,left message 10/9,
SS,Michael,Miller,David & Margaret Youth & Family Services,Chief Program Officer,"Youth and family services including foster family & adoption services, self-injury and mental health counseling programs, transitional housing",Youth & Families,Call for more information,1350 Third St.,,CA,La Verne,91750,"909.596.5921 
ext.3500",,www.davidandmargaret.org,left message 10/9,
CM,Michael,Miller,David & Margaret Youth & Family Services,Chief Program Officer,"Youth and family services including foster family & adoption services, self-injury and mental health counseling programs, transitional housing",Youth & Families,Call for more information,1350 Third St.,,CA,La Verne,91750,"909.596.5921 
ext.3500",,www.davidandmargaret.org,left message 10/9,
CA,,,Delhaven Community Center,,"Adult day care program for developmentally disabled (M-F 9am-3-pm) club for kids ages 5-12 with behavioral and emotional problems Mon Tues and Thurs 3-5pm.  Emergency welfare for families with no income and children, must be referred by school or agency.  Food supply and new shoes for children enrolled in any school district.",,Mon-Fri 8am-5pm,15135 Fair Grove Ave,,CA,La Puente,91744,626.917.9789,,www.delhavencommunitycenter.com,,
FB,,,Delhaven Community Center,,"Adult day care program for developmentally disabled (M-F 9am-3-pm) club for kids ages 5-12 with behavioral and emotional problems Mon Tues and Thurs 3-5pm.  Emergency welfare for families with no income and children, must be referred by school or agency.  Food supply and new shoes for children enrolled in any school district.",,Mon-Fri 8am-5pm,15135 Fair Grove Ave,,CA,La Puente,91744,626.917.9789,,www.delhavencommunitycenter.com,,
